Date,Revenue
2026-08-09,0.00
2026-08-10,0.00
2026-08-11,0.00
2026-08-12,0.00
2026-08-13,0.00
2026-08-14,0.00
2026-08-15,0.00
2026-08-16,0.00
2026-08-17,0.00
2026-08-18,0.00
2026-08-19,0.00
2026-08-20,0.00
2026-08-21,0.00
2026-08-22,0.00
2026-08-23,0.00
2026-08-24,164.50
2026-08-25,176.50
2026-08-26,0.00
2026-08-27,0.00
2026-08-28,0.00
2026-08-29,0.00
2026-08-30,0.00
2026-08-31,0.00
2026-09-01,0.00
2026-09-02,0.00
2026-09-03,0.00
2026-09-04,0.00
2026-09-05,0.00
2026-09-06,338.94
2026-09-07,0.00
2026-09-08,0.00
2026-09-09,33.45
